Idx	Frequency	Coverage (%)	Phrase
1	61487	8.74	的
2	59667	10.32	了
3	44913	11.13	，
4	26806	12.03	是
5	25122	12.66	在
6	19204	13.24	會
7	18328	13.82	我
8	16609	14.33	有
9	15954	14.82	就
10	15625	15.37	很
11	14874	15.79	到
12	13910	16.27	都
13	12144	16.47	。
14	11512	16.86	也
15	10734	17.28	要
16	8843	17.55	能
17	8821	17.79	和
18	8718	18.11	去
19	8633	18.42	還
20	8410	18.60	、
21	8343	18.89	個
22	8288	19.15	上
23	6542	19.33	但
24	6282	19.55	想
25	6139	19.74	來
26	6050	19.93	所以
27	6005	20.13	着
28	5927	20.33	裏
29	5826	20.56	過
30	5558	20.78	得
31	5357	20.96	因爲
32	5262	21.15	這
33	4520	21.27	對
34	4455	21.41	一
35	4409	21.53	而
36	4307	21.69	可以
37	4297	21.83	人
38	4178	22.00	她
39	4160	22.15	們
40	4091	22.30	地
41	4036	22.45	好
42	3944	22.60	他
43	3938	22.74	但是
44	3932	22.89	不
45	3836	23.01	用
46	3812	23.13	中
47	3702	23.27	說
48	3640	23.43	做
49	3616	23.56	又
50	3566	23.70	那
51	3548	23.71	”
52	3516	23.83	多
53	3506	23.95	時
54	3397	24.05	讓
55	3358	24.16	雖然
56	3315	24.25	並
57	3139	24.37	看
58	3050	24.48	之
59	3019	24.60	再
60	3013	24.72	一個
61	3000	24.80	從
62	2991	24.86	把
63	2981	25.00	開始
64	2936	25.12	卻
65	2896	25.23	而且
66	2873	25.37	已經
67	2844	25.46	“
68	2822	25.54	以
69	2807	25.65	更
70	2791	25.75	後
71	2766	25.86	它
72	2731	25.98	覺得
73	2722	26.08	種
74	2719	26.16	爲
75	2698	26.28	呢
76	2694	26.39	還是
77	2678	26.50	,
78	2657	26.61	只
79	2622	26.68	當
80	2615	26.78	些
81	2454	26.86	大
82	2430	26.94	出
83	2421	27.04	起
84	2419	27.12	給
85	2345	27.21	下
86	2299	27.28	如果
87	2258	27.39	沒
88	2253	27.51	嗎
89	2185	27.60	被
90	2128	27.69	現在
91	2106	27.78	沒有
92	2085	27.88	完
93	2066	27.96	家
94	2035	28.05	學
95	1992	28.12	的時候
96	1990	28.22	你
97	1933	28.30	太
98	1928	28.37	自己
99	1911	28.45	點
100	1890	28.53	：
101	1885	28.59	將
102	1875	28.65	習
103	1839	28.73	吧
104	1832	28.81	才
105	1776	28.89	學習
106	1767	28.98	吃
107	1764	29.05	我們
108	1761	29.12	話
109	1753	29.19	？
110	1752	29.27	成
111	1751	29.34	像
112	1738	29.41	跟
113	1732	29.47	於
114	1701	29.51	與
115	1661	29.57	子
116	1644	29.64	天
117	1627	29.71	然後
118	1616	29.78	寫
119	1613	29.86	一起
120	1602	29.94	正
121	1585	30.00	因
122	1560	30.05	候
123	1556	30.11	次
124	1547	30.17	並且
125	1512	30.24	纔
126	1496	30.29	使
127	1489	30.34	！
128	1480	30.41	還有
129	1464	30.47	部
130	1440	30.52	他們
131	1439	30.57	面
132	1438	30.64	應該
133	1437	30.71	非常
134	1418	30.78	回
135	1408	30.85	請
136	1408	30.92	很多
137	1407	30.98	到了
138	1406	31.05	住
139	1355	31.09	所
140	1339	31.14	語
141	1319	31.20	件
142	1304	31.24	 
143	1298	31.30	工作
144	1298	31.35	最
145	1287	31.40	這樣
146	1283	31.46	一下
147	1279	31.53	真
148	1273	31.59	打
149	1272	31.63	的話
150	1265	31.69	需要
151	1261	31.76	喜歡
152	1255	31.81	事
