棒棰	棒槌
指摘	指責
接長補短	截長補短
舉行晏會	舉行宴會
音龠	音樂
自名得意	自鳴得意
煤汽機	煤氣機
成工	成功
計日成功	計日程功
喘噓噓	喘吁吁
鬥音	抖音
波浪鼓	撥浪鼓
裝聾做啞	裝聾作啞
憂心重重	憂心忡忡
老態龍腫	老態龍鍾
透澈	透徹
輕舉忘動	輕舉妄動
攙和	摻和
吃裏扒外	吃裏爬外
慘酷無情	殘酷無情
瘦骨伶丁	瘦骨伶仃
心浮氣燥	心浮氣躁
還而	孩兒
轉游	轉悠
粘糊	黏糊
寧缺毋爛	寧缺毋濫
木犀	木樨
精神煥散	精神渙散
開誠不公	開誠佈公
規戒	規誡
是天兩夜	四天兩夜
案語	按語
飄眇	縹緲
風鏡	風景
獨書己見	獨抒己見
作爲探討	做爲探討
溼淥淥	溼漉漉
日本蔡	日本菜
轟笑	鬨笑
一視同人	一視同仁
座公車	坐公車
蓄意抱復	蓄意報復
障愛文	張愛文
詞反	吃飯
委過	諉過
扒犁	爬犁
連篇累櫝	連篇累牘
禁若寒蟬	噤若寒蟬
長噓短嘆	長吁短嘆
過的很開心	過得很開心
素昧平身	素昧平生
妳們	你們
鬼斧神功	鬼斧神工
推脫生病	推託生病
一麟半爪	一鱗半爪
化學成份	化學成分
大廷廣衆	大庭廣衆
工力悉抵	工力悉敵
死皮癩臉	死皮賴臉
陷井	陷阱
陳詞爛調	陳詞濫調
掉包	調包
癡心枉想	癡心妄想
掇句成文	綴句成文
震奮人心	振奮人心
澈底	徹底
夙敵	宿敵
枓栱	斗拱
壤大衆理解	讓大衆理解
依仗權勢	倚仗權勢
不既不離	不即不離
緒序漸進	循序漸進
精萃	精粹
辭彙	詞彙
錄相	錄像
俯首貼耳	俯首帖耳
菁華	精華
淺嘗則止	淺嘗輒止
兇相必露	兇相畢露
預會	與會
頑耍	玩耍
無忘之災	無妄之災
月明星希	月明星稀
歇事寧人	息事寧人
彼彼皆是	比比皆是
原氣大傷	元氣大傷
吭害好人	坑害好人
括不知恥	恬不知恥
篡改文件	竄改文件
月來越好	越來越好
大人常委會	人大常委會
學姣	學校
飛聲文壇	蜚聲文壇
非夷所思	匪夷所思
無會	舞會
關懷倍至	關懷備至
張惶失措	張皇失措
惴揣不安	惴惴不安
帶罪立功	戴罪立功
奇角之勢	掎角之勢
宏亮	洪亮
漸漸的增加	漸漸地增加
有所尊循	有所遵循
篷蓽增輝	蓬蓽增輝
弘圖	宏圖
剎時	霎時
班駁陸離	斑駁陸離
交馬上停車	叫馬上停車
無譏之談	無稽之談
纏綿悱測	纏綿悱惻
翻覆無常	反覆無常,翻覆無常
老陳持重	老成持重
莫些年	某些年
挑肥撿瘦	挑肥揀瘦
長遠的看	長遠地看
睡過偷	睡過頭
大才小用	大材小用
張慌失措	張皇失措
自曝自棄	自暴自棄
土地貧脊	土地貧瘠
戮穿陰謀	戳穿陰謀
師什麼公車	是什麼公車
沿木求魚	緣木求魚
發掌	發展
淌水過河	趟水過河
可使	可是
飛揚拔扈	飛揚跋扈
糟踏	糟蹋
申酉戍亥	申酉戌亥
鬢腳	鬢角
風雨如誨	風雨如晦
至理明言	至理名言
深醒	深省
名哲保身	明哲保身
表本兼治	標本兼治
大的家	他的家
樂和和	樂呵呵
相對得壞處	相對的壞處
西辦加話	西班牙話
太樣兵	太陽餅
古今雜揉	古今雜糅
危如磊卵	危如累卵
憑藉	憑藉
嚎啕	號啕
饒勇善戰	驍勇善戰
水籠頭	水龍頭
怙惡不俊	怙惡不悛
一獗不振	一蹶不振
畏崽不前	畏葸不前
夜消	夜宵
高興得	高興地
黃曆	皇曆
禍國秧民	禍國殃民
相矩不遠	相距不遠
續多	許多
演譯推理	演繹推理
垂手可得	唾手可得
餐訂	餐廳
異子	椅子
具造	製造
授與	授予
清沏見底	清澈見底
臺配種戰	臺北總站
撩亂	繚亂
有志競成	有志竟成
無人問斤	無人問津
列如	例如
流覽報紙	瀏覽報紙
走露	走漏
現進	先進
橫徵暴殮	橫徵暴斂
一起去把	一起去吧
專心至志	專心致志
表面的看	表面地看
出人投地	出人頭地
指高氣揚	趾高氣揚
刻期	剋期
瞑思苦想	冥思苦想
殺一警百	殺一儆百
流守	留守
怨天猶人	怨天尤人
根深底固	根深蒂固
踉蹡	踉蹌
作奸犯課	作奸犯科
萬冠家財	萬冠家貫
開天劈地	開天闢地
棉子	棉籽
戴我	載我
十錦	什錦
言前	眼前
好久沒間	好久沒見
仲栽委員	仲裁委員
影象	影像
看般球	看棒球
殺風景	煞風景
積毀消骨	積毀銷骨
以身作責	以身作則
一蹋糊塗	一塌糊塗
安兵不動	按兵不動
又漂亮的衣服	有漂亮的衣服
單讓	當然
味同嚼臘	味同嚼蠟
凝鍊	凝練
持續的	持續地
參預	參與
暴炸	爆炸
躊躕	躊躇
慘絕人環	慘絕人寰
座捷運	坐捷運
直上重宵	直上重霄
豈有此裏	豈有此理
怒朋友	女朋友
鬥趣兒	逗趣兒
名信片	明信片
觀察關	觀察官
右遍	右邊
縱橫俾闔	縱橫捭闔
恰如其份	恰如其分
高屋建領	高屋建瓴
做神馬	做什麼
喜出往外	喜出望外
逃戰	挑戰
自立更生	自力更生
錄的	綠的
流言非語	流言飛語,流言蜚語
規規矩距	規規矩矩
做秀	作秀
廳路上	聽路上
不明一文	不名一文
唱工	唱功
三十分鍾	三十分鐘
暫露頭角	嶄露頭角
渾沌	混沌
急風勁草	疾風勁草
矯糅造作	矯揉造作
腳鴨子	腳丫子
貯立	佇立
塗然	突然
啓用幹部	起用幹部
影影約約	隱隱約約
明查暗訪	明察暗訪
人蔘鹿葺	人蔘鹿茸
直抒胸意	直抒胸臆
智識	知識
恐前絕後	空前絕後
飄亮	漂亮
約來越晚	越來越晚
再機場	在機場
那末	那麼
喜上眉捎	喜上眉梢
路行	旅行
通貨膨漲	通貨膨脹
廖若晨星	寥若晨星
熱剌剌	熱辣辣
拋地有聲	擲地有聲
花田酒地	花天酒地
萬馬齊暗	萬馬齊喑
明信片	名信片
辨證法	辯證法
座火車	坐火車
心恢意冷	心灰意冷
走頭無路	走投無路
做回去	坐回去
爲虎作帳	爲虎作倀
氣喘噓噓	氣喘吁吁
相形見拙	相形見絀
或着市	或者是
不卑不抗	不卑不亢
風塵撲撲	風塵僕僕
坐想其成	坐享其成
開消	開銷
再服務業	在服務業
坐收魚利	坐收漁利
華爲泡影	化爲泡影
襤竽充數	濫竽充數
言不由中	言不由衷
骨董	古董
盤陁	盤陀
不好億思	不好意思
她門	她們
性格粗曠	性格粗獷
息緩	喜歡
稨豆	扁豆
事等我女朋友的	是等我女朋友的
對針下藥	對症下藥
圓藝	園藝
作天	昨天
卸儎	卸載
上敘	上述
合唱父系語法	和常複習語法
聲張正義	伸張正義
香純	香醇
姿意妄爲	恣意妄爲
敘文	序文
切搓琢磨	切搓磋磨
辨證理論	辯證理論
美邦法	沒辦法
覆轍	覆轍
戍戌政變	戊戌政變
堅難困苦	艱難困苦
斷章取意	斷章取義
矯柔造作	矯揉造作
漫條斯理	慢條斯理
公司排我	公司派我
吊虎離山	調虎離山
老倆口	老兩口
跌蕩	跌宕
挺而走險	鋌而走險
搭褳	褡褳
潮呼呼	潮乎乎
弱不經風	弱不禁風
放面	方面
耳根清靜	耳根清淨
耽心	擔心
堰旗息鼓	偃旗息鼓
爛縵	爛漫
狼頭	榔頭
爲富不忍	爲富不仁
如期峻工	如期竣工
湎懷先烈	緬懷先烈
痕累	很累
臺灣採	臺灣菜
毋用諱言	毋庸諱言
牽強副會	牽強附會
差遲	差池
鵠首窮經	皓首窮經
城惶誠恐	誠惶誠恐
努生	女生
士女畫	仕女畫
深爲婉惜	深爲惋惜
線然	顯然
厭厭欲睡	懨懨欲睡
糜費	靡費
摒氣凝神	屏氣凝神
沓無音信	杳無音信
哪理	哪裏
鋒鋩	鋒芒
作歇時間	作息時間
隱約其詞	隱約其辭
她九打電話	她就打電話
暝思苦想	冥思苦想
司空見怪	司空見慣
喜暗	喜歡
留着鞭子	留着辮子
羅嗦	囉嗦
花消	花銷
候門如海	侯門如海
如火如茶	如火如荼
發韌	發軔
疲塌	疲沓
牽聯	牽連
文恬武嘻	文恬武嬉
肖象	肖像
錄色	綠色
大明哏他朋友	大明跟他朋友
補釘	補丁
黔驢計窮	黔驢技窮
嘹喨	嘹亮
手醫學治療	受醫學治療
已經再發生了	已經在發生了
發山	爬山
依些	一些
沙壺	砂壺
不另賜教	不吝賜教
永保青春	永葆青春
一落千仗	一落千丈
密魯	祕魯
熾愛	摯愛
遊日聘懷	遊日騁懷
奕棋	弈棋
痙孿	痙攣
雪中送碳	雪中送炭
近去	進去
名聞暇邇	名聞遐邇
大相徑廷	大相徑庭
倍受歡迎	備受歡迎
啞吧	啞巴
磨拳擦掌	摩拳擦掌
裏學校很近	離學校很近
動則得咎	動輒得咎
手不失卷	手不釋卷
不斷的提高	不斷地提高
覺得貳	覺得餓
無是生非	無事生非
勞動鍛練	勞動鍛鍊
恰談業務	洽談業務
投投是道	頭頭是道
招搖闖騙	招搖撞騙
照像機	照相機
要言不繁	要言不煩
起程	啓程
虛無飄緲	虛無縹緲
惟一	唯一
不求深解	不求甚解
祖傳密方	祖傳祕方
吉詳	吉祥
腫漲	腫脹
潮忽忽	潮乎乎
答理	搭理
彰善憚惡	彰善癉惡
