冽	例側琍準凍咧荊紜洌列硎涮芸裂雲測凝倒惻次耘捌蜊前烈俐冶冷喇冰
菊	鞠麴芯掬荀苟芍米苞葉燕憐葡蔔屎蔚蕊迷咪萊粱茱苯茉苗芣昔薦芋釆
猙	箏淨掙崢錚睜靜猾諍狙爭猜狷狽狩猛猖猥獰猓狄犯
檣	穡牆薔嗇桔檯櫝梅迴杜茴橈檮蛔桂徊稟檜橾檢榕槍佃樹梱回
坦	場怛查銲塌袒湯悍晝旺垣垠書昊焊桿塒擔旱暘靼但壇旦捍堤膽疸
誤	詣詔詩請詭謀詼諂談諉諍誥認譟詻語誼設諱吳詮試諄蜈詰誡詆詫諒誌娛
塌	櫂瀚羿煽擢褶翁翌翠翟習蹋蓊嗡遢曜濯翼摺翰榻
搖	探罈陶瑤揮缺掙援淘萄缸榣遙缶謠缽掏罌採啕授
奎	娃哇掛佳桂畦閨堯卦掛褂圭痣蛙鞋鮭崖封捱涯
癲	巔顛瞋蘋籲闐貳鎮滇慎填嶺瀕擷縝噸傾鬚贛澦
櫓	嚕漁魯魚鯧鯊鱉鱟鰻鯽鰓欄鰭鯉鮪鮭鯨鯖鯛桅栘鮫橡鮑魷楝鱷鰍薊李
務	矜矛霧茅橘譎騖湧飭孜脅矣勝踴敝救教啟敏敕敖赦敉敦敢散敞敬故畋
寢	寐寤莊蔣浸侵鏘戕狀妝壯夜候葭霞蝦將沒疫芟又暇殿煆瑕遐殼豭假殺
燜	爛悶澗憫嫻僩捫們門潤櫚瀾攔欄簡擱熄斕藺閑間閒蘭問閃籣閂
鑤	曝爆瀑暴鏝鍚錫銲鎰錕錯鉛銀共錨鍍賜烘洪拱哄供普異基恭
粕	柏棉米迫鉑泊拍怕伯粒粗料敉籽珀帕穆白舶粳糖糠粉腺煌線糢糟糝糧
興	筒銅胴桐洞恫峒同脰臼石只且磊膈答幅壹租砠狙
婷	停孃亭搞槁壕嚎濠鎬娟犒稿縞嵩蒿豪高篙惇淳哼蠔亳膏
轡	絹緝縲輯絲累庫繽繩縯縮禪縝輜綻綰綜緒嫘嗦結喲細紹絃
天	闋夫暖篌湲睽侯助大癸葵援媛喉鍰爰一揆昊煖嚴堠犬
始	怡擡治胎迨冶苔臺笞殆貽跆飴颱或怠域媧結銘如吆哉名
覦	硯規現峴覓靦覬覲覜蜆視筧莧觀覺見窺攪俞褕逾榆渝愉喻偷能瘉愈
昆	庇屁枇批毗沘妣仳比紕能皁崑混棍焜錕花疵尼它指牝脂叱琨化
俠	佑愜儉攸矢傘侑伽雉儈倫頰傷傖從陝仇侮莢偷狹佈峽挾俟夾浹佺伶
檯	薹桔臺橈檮櫝杜檣槁拮桂肚樹啁黠橋嬉嘻僖遠結榷碉周吉
濕	涅汨湯渴瀑漫混澗瀾浪艮宴潤漕湄溉潦潛潟踏滾漠漯漁暍渣湣涼淡娼
陣	轟連庫軍載輦車範軋陀褲輩軒軏陳陴軟軌軸阡院渾揮運暉漣鏈囀弔葷
淺	寸餞摻盞殆櫥梭錢踐腑線殘俯茲慘滲械榔賤村糝鬆私箋
割	豁刮剖創副判刑刊害剴剩剷劃釗劍削剌剋剎到制刺劑別刪刨利列劃刖
狩	獰守特猙博傳持恃待峙狷時侍猜猛猖猥傅猾溥搏獐膊撙磚樽褥遵獷狼
磷	礁碳磋粥咪礫遴燐轔磴嶙磧舜碗碾磕粼矽鄰桀硝砂礦鱗碟礎璘憐磚磊麟磁
洶	胸沌沁匈洵泌洩泡池屯兇肫汕鈍淘芻囤洧洸洩洎盹浹泥況泱泯汶沃渚
娶	最蕞撮取汝耳支陬叢妓趣茸芰安恥耿弭洱枝肢吱岐技
礫	礁吆碳藥磋灤譏爍磴碾碗機樂砥鑠磕嘰硫礦碣碟磚硿碌璣磊磯砭石磁
蕈	潭撢罈覃譚瘴黃草薑樟漳簧早橫璋障獐幛蕾葬會章瞟璜蟑膘膾磺燴標
僭	潛簪既蠶倡概慨溉暨儈偎借佞僧儉偷倫佺仁佰
齷	齟齬齡齦齣齜渥握喔齲齪屋齒至齧輊蛭絰致姪倒到耋窒室
樊	攀爻稀礬希痍疲餚痳駁椅晞烯崤唏袂決抉快尖艾筷痂療爽塽缺
蠢	蠶蠹蠱春蟲蝨蠡泰奉舂蚤秦奏蝕搔強晁閩蟲騷螻繈蜴蛭蛆蚶蚯蚓蚣虹
勦	剿巢勁脅勃肋叻幼繅男勒勘動勳勵觔劾劻助劬劫功淄錙另
季	悸李秀籽禾委孚香字番移孝孛禿存孕學子和秈利私秋好囝秣仔稞
導	道尊寺守肘專臬辱首對鎳射村吋忖付冠自尉討封紂耐
